CLAVE_SISE,CLAVE_AMIS,ARMADORA,MARCA,DESCRIPCION1,DESCRIPCION2,TIPO_VEHICULO,TRANSMISION,CILINDROS,PUERTAS,OCUPANTES,AGRUPACION,COM_DESC,,,,,,,,,,,,,,,,,,,,,,AÑO
g0010011,G0010011,AA,ACURA,ACURA TL 4X4 6 CIL 4 PTS AUT,ACURA TL 4X4 6 CIL 4 PTS AUT,AUTOMOVIL,AUT,6,4,5,LUJO,TL,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,2012,2011,2010,2009,0,0,0,"2013, 2012, 2011, 2010, 2009,"
g0010005,G0010005,AA,ACURA,ACURA TSX 4 CIL 4 PTS AUT,ACURA TSX 4 CIL 4 PTS AUT,AUTOMOVIL,AUT,4,4,5,LUJO,TSX,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,2012,2011,2010,2009,0,0,0,"2013, 2012, 2011, 2010, 2009,"
g0010008,G0010008,AA,ACURA,ACURA ILX PREMIUM 6 CIL 4 PTS AUT,ACURA ILX PREMIUM 6 CIL 4 PTS AUT,AUTOMOVIL,AUT,6,4,5,LUJO,ILX,0,0,0,0,0,0,0,0,0,0,0,2015,2014,2013,0,0,0,0,0,0,0,"2015, 2014, 2013,"
g0010009,G0010009,AA,ACURA,ACURA RLX VE QC 6 CIL 4 PTS AUT,ACURA RLX VE QC 6 CIL 4 PTS AUT,AUTOMOVIL,AUT,6,4,5,LUJO,RLX,0,0,0,0,0,0,0,0,0,0,0,2015,2014,0,0,0,0,0,0,0,0,"2015, 2014,"
g0010024,G0010024,AA,ACURA,ACURA INTEGRA A SPEC 4 CIL 4 PTS AUT,ACURA INTEGRA A SPEC 4 CIL 4 PTS AUT,AUTOMOVIL,AUT,4,4,5,LUJO,INTEGRA,0,2025,2024,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
g0010017,G0010017,AA,ACURA,ACURA TLX A SPEC 4 CIL 4 PTS AUT,ACURA TLX A SPEC 4 CIL 4 PTS AUT,AUTOMOVIL,AUT,4,4,5,LUJO,TLX,0,0,0,0,0,0,0,2019,2018,0,0,0,0,0,0,0,0,0,0,0,0,"2019, 2018,"
g0010023,G0010023,AA,ACURA,AA ACURA MDX TYPE-S 6 CIL 5 PTS AUT,AA ACURA MDX TYPE-S 6 CIL 5 PTS AUT,AUTOMOVIL,AUT,6,5,5,CAMIONETA LUJO,MDX,0,2025,2024,2023,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2025, 2024, 2023, 2022,"
g0010013,G0010013,AA,ACURA,ACURA MDX TECH 6 CIL 5 PTS AUT,ACURA MDX TECH 6 CIL 5 PTS AUT,AUTOMOVIL,AUT,6,5,5,CAMIONETA LUJO,MDX,0,0,0,0,0,0,2020,2019,2018,2017,2016,2015,2014,0,0,0,0,0,0,0,0,"2020, 2019, 2018, 2017, 2016, 2015, 2014,"
g0010016,G0010016,AA,ACURA,ACURA ILX A SPEC 4 CIL 4 PTS AUT,ACURA ILX A SPEC 4 CIL 4 PTS AUT,AUTOMOVIL,AUT,4,4,5,LUJO,ILX,0,0,0,0,0,0,2020,2019,2018,2017,2016,0,0,0,0,0,0,0,0,0,0,"2020, 2019, 2018, 2017, 2016,"
g0010006,G0010006,AA,ACURA,ACURA ZDX 4X4 VP QC RA-18 6 CIL 5 PTS AUT,ACURA ZDX 4X4 VP QC RA-18 6 CIL 5 PTS AUT,AUTOMOVIL,AUT,6,5,5,LUJO,ZDX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,2011,2010,0,0,0,0,"2012, 2011, 2010,"
g0010014,G0010014,AA,ACURA,ACURA TLX ADVANCE 6 CIL 4 PTS AUT,ACURA TLX ADVANCE 6 CIL 4 PTS AUT,AUTOMOVIL,AUT,6,4,5,LUJO,TLX,0,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,0,0,0,0,0,0,0,0,0,"2025, 2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015,"
g0010025,G0010025,AA,ACURA,ACURA INTEGRA TYPE S 4 CIL 5 PTS STD,ACURA INTEGRA TYPE S 4 CIL 5 PTS STD,AUTOMOVIL,STD,4,5,5,LUJO,INTEGRA,0,2025,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2025, 2024,"
g0010012,G0010012,AA,ACURA,ACURA ILX LUXURY 4 CIL 4 PTS AUT,ACURA ILX LUXURY 4 CIL 4 PTS AUT,AUTOMOVIL,AUT,4,4,5,LUJO,ILX,0,0,0,0,0,0,0,0,0,0,0,0,2014,0,0,0,0,0,0,0,0,"2014,"
g0010021,G0010021,AA,ACURA,ACURA RDX ADVANCE 4 CIL 5 PTS AUT,ACURA RDX ADVANCE 4 CIL 5 PTS AUT,AUTOMOVIL,AUT,4,5,5,CAMIONETA LUJO,RDX,0,2025,2024,2023,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2025, 2024, 2023, 2022,"
g0010018,G0010018,AA,ACURA,ACURA RDX A SPEC 4X4 4 CIL 5 PTS AUT,ACURA RDX A SPEC 4X4 4 CIL 5 PTS AUT,AUTOMOVIL,AUT,4,5,5,CAMIONETA LUJO,RDX,0,0,2024,2023,2022,2021,2020,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024, 2023, 2022, 2021, 2020, 2019,"
g0010002,G0010002,AA,ACURA,ACURA MDX AWD 4X4 6 CIL 5 PTS AUT,ACURA MDX AWD 4X4 6 CIL 5 PTS AUT,AUTOMOVIL,AUT,6,5,5,CAMIONETA LUJO,MDX,0,0,0,0,0,0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,"2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006,"
g0010019,G0010019,AA,ACURA,AA ACURA MDX ADVANCE 6 CIL 5 PTS AUT,AA ACURA MDX ADVANCE 6 CIL 5 PTS AUT,AUTOMOVIL,AUT,6,5,5,CAMIONETA LUJO,MDX,0,2025,2024,2023,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2025, 2024, 2023, 2022,"
g0010004,G0010004,AA,ACURA,ACURA RDX 4X4 4 CIL 5 PTS AUT,ACURA RDX 4X4 4 CIL 5 PTS AUT,AUTOMOVIL,AUT,4,5,5,CAMIONETA LUJO,RDX,0,0,0,0,0,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,0,"2021, 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007,"
g0010015,G0010015,AA,ACURA,ACURA TLX TECH 4 CIL 4 PTS AUT,ACURA TLX TECH 4 CIL 4 PTS AUT,AUTOMOVIL,AUT,4,4,5,LUJO,TLX,0,0,0,0,0,0,0,2019,2018,2017,2016,2015,0,0,0,0,0,0,0,0,0,"2019, 2018, 2017, 2016, 2015,"
g0010007,G0010007,AA,ACURA,ACURA ILX TECH 6 CIL 4 PTS AUT,ACURA ILX TECH 6 CIL 4 PTS AUT,AUTOMOVIL,AUT,6,4,5,LUJO,ILX,0,0,0,0,0,0,2020,2019,2018,2017,2016,2015,2014,2013,0,0,0,0,0,0,0,"2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013,"
g0010001,G0010001,AA,ACURA,ACURA TL 6 CIL 4 PTS AUT,ACURA TL 6 CIL 4 PTS AUT,AUTOMOVIL,AUT,6,4,5,LUJO,TL,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,2012,2011,2010,2009,2008,2007,2006,"2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006,"
g0010003,G0010003,AA,ACURA,ACURA RL 4X4 6 CIL 4 PTS AUT,ACURA RL 4X4 6 CIL 4 PTS AUT,AUTOMOVIL,AUT,6,4,5,LUJO,RL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,2011,2010,2009,2008,2007,2006,"2012, 2011, 2010, 2009, 2008, 2007, 2006,"
g0010020,G0010020,AA,ACURA,ACURA RDX TECH 4 CIL 5 PTS AUT,ACURA RDX TECH 4 CIL 5 PTS AUT,AUTOMOVIL,AUT,4,5,5,CAMIONETA LUJO,RDX,0,0,0,0,2022,2021,2020,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,"2022, 2021, 2020, 2019,"
g0010022,G0010022,AA,ACURA,AA ACURA TLX TYPE S 6 CIL 4 PTS AUT,AA ACURA TLX TYPE S 6 CIL 4 PTS AUT,AUTOMOVIL,AUT,6,4,5,LUJO,TLX,0,0,2024,2023,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024, 2023, 2022,"
g0010010,G0010010,AA,ACURA,ACURA TSX 3.5I 6 CIL 4 PTS AUT,ACURA TSX 3.5I 6 CIL 4 PTS AUT,AUTOMOVIL,AUT,6,4,5,LUJO,TSX,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,2012,2011,2010,0,0,0,0,"2013, 2012, 2011, 2010,"
g0060360,G0060360,AI,AUDI,AUDI Q7 SELECT 6 CIL 5 PTS AUT,AUDI Q7 SELECT 6 CIL 5 PTS AUT,AUTOMOVIL,AUT,6,5,5,CAMIONETA LUJO,Q7,0,0,0,0,0,2021,0,2019,2018,2017,2016,0,0,0,0,0,0,0,0,0,0,"2021, 2019, 2018, 2017, 2016,"
g0060379,G0060379,AI,AUDI,AUDI A3 DYNAMIC 1.4 LTS 4 CIL 4 PTS AUT,AUDI A3 DYNAMIC 1.4 LTS 4 CIL 4 PTS AUT,AUTOMOVIL,AUT,4,4,5,LUJO,A3,0,2025,2024,2023,2022,0,2020,2019,2018,2017,0,0,0,0,0,0,0,0,0,0,0,"2025, 2024, 2023, 2022, 2020, 2019, 2018, 2017,"
